"","iso3","province.state","lat","long","x01.22.20","x01.23.20","x01.24.20","x01.25.20","x01.26.20","x01.27.20","x01.28.20","x01.29.20","x01.30.20","x01.31.20","x02.01.20","x02.02.20","x02.03.20","x02.04.20","x02.05.20","x02.06.20","x02.07.20","x02.08.20","x02.09.20","x02.10.20","x02.11.20","x02.12.20","x02.13.20","x02.14.20","x02.15.20","x02.16.20","x02.17.20","x02.18.20","x02.19.20","x02.20.20","x02.21.20","x02.22.20","x02.23.20","x02.24.20","x02.25.20","x02.26.20","x02.27.20","x02.28.20","x02.29.20","x03.01.20","x03.02.20","x03.03.20","x03.04.20","x03.05.20","x03.06.20","x03.07.20","x03.08.20","x03.09.20","x03.10.20","x03.11.20","x03.12.20","x03.13.20","x03.14.20","x03.15.20","x03.16.20","x03.17.20","x03.18.20","x03.19.20","x03.20.20","x03.21.20","x03.22.20","x03.23.20","x03.24.20","x03.25.20","x03.26.20","x03.27.20","x03.28.20","x03.29.20","x03.30.20","x03.31.20","x04.01.20","x04.02.20","x04.03.20","x04.04.20","x04.05.20","x04.06.20","x04.07.20","x04.08.20","x04.09.20","x04.10.20","x04.11.20","x04.12.20","x04.13.20","x04.14.20","x04.15.20","x04.16.20","x04.17.20","x04.18.20","x04.19.20","x04.20.20","logcases","density","cdensity"
"5","ABW","Aruba",12.5186,-70.0358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,4,4,5,5,9,9,12,17,28,33,46,50,50,55,55,60,62,64,64,71,74,77,82,86,92,92,92,92,93,95,96,96,97,97,4.58496747867057,582.344444444444,"high pop density"
"6","AFG","Afghanistan",33,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,7,7,7,11,16,21,22,22,22,24,24,40,40,74,84,94,110,110,120,170,174,237,273,281,299,349,367,423,444,484,521,555,607,665,714,784,840,906,933,996,1026,6.93439720992856,53.0834053242655,"low pop density"
"7","AGO","Angola",-11.2027,17.8739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3,4,4,5,7,7,7,8,8,8,10,14,16,17,19,19,19,19,19,19,19,19,19,19,24,24,24,3.2188758248682,23.1117855137563,"low pop density"
"9","ALB","Albania",41.1533,20.1683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,12,23,33,38,42,51,55,59,64,70,76,89,104,123,146,174,186,197,212,223,243,259,277,304,333,361,377,383,400,409,416,433,446,467,475,494,518,539,548,562,584,6.37161184723186,104.967189781022,"mid pop density"
"10","AND","Andorra",42.5063,1.5218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,39,39,53,75,88,113,133,164,188,224,267,308,334,370,376,390,428,439,466,501,525,545,564,583,601,601,638,646,659,673,673,696,704,713,717,6.57646956904822,164.427659574468,"high pop density"
"11","ARE","United Arab Emirates",24,54,0,0,0,0,0,0,0,4,4,4,4,5,5,5,5,5,5,7,7,8,8,8,8,8,8,9,9,9,9,9,9,13,13,13,13,13,13,19,21,21,21,27,27,29,29,45,45,45,74,74,85,85,85,98,98,98,113,140,140,153,153,198,248,333,333,405,468,570,611,664,814,1024,1264,1505,1799,2076,2359,2659,2990,3360,3736,4123,4521,4933,5365,5825,6302,6302,6781,7265,8.89096121278115,110.880526315789,"mid pop density"
"12","ARG","Argentina",-38.4161,-63.6167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,8,12,12,17,19,19,31,34,45,56,68,79,97,128,158,266,301,387,387,502,589,690,745,820,1054,1054,1133,1265,1451,1451,1554,1628,1715,1795,1975,1975,2142,2208,2277,2443,2571,2669,2758,2839,2941,7.98684490116138,16.0220668033281,"low pop density"
"13","ARM","Armenia",40.0691,45.0382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,4,8,18,26,52,78,84,115,136,160,194,235,249,265,290,329,407,424,482,532,571,663,736,770,822,833,853,881,921,937,967,1013,1039,1067,1111,1159,1201,1248,1291,1339,7.20042489294496,102.733263083948,"mid pop density"
"14","ASM","American Samoa",-14.271,-170.132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277.995,"high pop density"
"15","ATG","Antigua and Barbuda",17.0608,-61.7964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3,3,3,7,7,7,7,7,7,7,9,15,15,15,15,19,19,19,19,21,21,23,23,23,23,23,23,23,23,3.17805383034795,229.461363636364,"high pop density"
"16","AUS","Northern Territory",-12.4634,130.8456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3,3,5,5,6,6,12,12,15,15,15,17,19,21,22,26,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,3.36729582998647,3.15150527836716,"low pop density"
